Compound_Name,CAS_Number,Flavor_Description,Source
ocimene,27400-71-1,herb,Flavornet
dihydrolinalool,18479-49-7,"wood, citrus, camphor",Flavornet
6(10)-dihydromyrcenol,18479-58-8,"tart lime, citrus, cologne",Flavornet
dimethylheptenal,106-72-9,"fruit, green, melon",Flavornet
α-ocimene,502-99-8,"fruit, wet cloth",Flavornet
(E)-β-ocimene,3779-61-1,"sweet, herb",Flavornet
2-octenal,2363-89-5,green,Flavornet
artemisia ketone,546-49-6,"green, herb",Flavornet
"2-methoxy-3,6-dimethylpyrazine",19846-22-1,earth,Flavornet
"p, a -dimethylstyrol",27576-03-0,gasoline,Flavornet
cis-sabinene hydrate,15537-55-0,balsamic,Flavornet
guaiacol,90-05-1,"smoke, sweet, medicine",Flavornet
γ-terpinene,99-85-4,"gasoline, turpentine",Flavornet
hydroxydimethylcyclopentenone,21835-00-7,caramel,Flavornet
p-cresol,106-44-5,"medicine, phenol, smoke",Flavornet
nonenone,24415-26-7,"pungent, mushroom",Flavornet
ethyldimethylthiazole,38205-61-7,earth,Flavornet
"2,5-dimethyl-3-ethylpyrazine",13360-65-1,"potato, roast",Flavornet
dihydromyrcenol,18479-58-8,"tart lime, citrus, cologne",Flavornet
sotolon,28664-35-9,"cotton candy, spice, maple",Flavornet
thenylthiol,6258-63-5,sulfur,Flavornet
methyl benzoate,93-58-3,"prune, lettuce, herb, sweet",Flavornet
ethyldimethylpyrazine,13925-07-0,potato,Flavornet
ethyldimethylpyrazine,15707-34-3,"burnt, popcorn",Flavornet
artemisia alcohol,29887-38-5,herb,Flavornet
m-cresol,108-39-4,"fecal, plastic",Flavornet
dimethylethyl pyrazine,13925-07-0,roast,Flavornet
durene,95-93-2,"rancid, sweet",Flavornet
maltol,118-71-8,caramel,Flavornet
(Z)-linalool oxide,5989-33-3,flower,Flavornet
octanol,111-87-5,"chemical, metal, burnt",Flavornet
2-pentylthiophene,4861-58-9,"sweet, fruit",Flavornet
acetylthiophene,88-15-3,sulfur,Flavornet
pentyl butanoate,540-18-1,banana,Flavornet
"3,5-octadienone",38284-27-4,"fruit, fat, mushroom",Flavornet
3-nonenal,31823-43-5,cucumber,Flavornet
nonanal,124-19-6,"fat, citrus, green",Flavornet
propyl hexanoate,626-77-7,fruit,Flavornet
2-phenylethyl alcohol,60-12-8,"honey, spice, rose, lilac",Flavornet
3-nonenal,109351-28-2,fat,Flavornet
isopropylmethoxypyrazine,25773-40-4,"pea, earth",Flavornet
"3,6-nonadienal",21944-83-2,"fat, soap",Flavornet
ethyl heptylate,106-30-9,fruit,Flavornet
2-methyl-2-(methyldithio)propanal,67952-60-7,"smoke, fat",Flavornet
hotrienol,20053-88-7,hyacinth,Flavornet
linalool,78-70-6,"flower, lavender",Flavornet
ethenyl-dimethylpyrazine,157615-33-3,earth,Flavornet
"2,4-octadienal",30361-28-5,"green, seaweed, cucumber",Flavornet
octenol,18409-17-1,"soap, plastic",Flavornet
acetylthiazoline,29926-41-8,"roast, popcorn",Flavornet
δ-terpinene,586-62-9,"pine, plastic",Flavornet
(E)-linalool oxide,34995-77-2,flower,Flavornet
(+)-cis-rose oxide,876-17-5,"green, flower",Flavornet
nonanone,821-55-6,"hot milk, soap, green",Flavornet
trans-sabinene hydrate,17699-16-0,"wood, balsamic",Flavornet
(-)-cis-rose oxide,3033-23-6,"sweet, rose",Flavornet
methyl cinnamate,103-26-4,strawberry,Flavornet
p-menthatriene,18368-95-1,turpentine,Flavornet
(methylbutenyl)-methylfuran,15186-51-3,mint,Flavornet
undecane,1120-21-4,alkane,Flavornet
α-p-dimethylstyrene,1195-32-0,"citrus, pine",Flavornet
formylmethyl thiophene,13679-70-4,sulfur,Flavornet
4-ethyl-6-hepten-3-one,131671-56-2,fish,Flavornet
"(E)-p-mentha-2,8-dien-1-ol",7212-40-0,"fresh, mint",Flavornet
pinenol,168564-54-3,"must, dust",Flavornet
perillen,539-52-6,wood,Flavornet
menthone,89-80-5,"fresh, green",Flavornet
octenhydroperoxide,72755-76-1,"metal, mushroom",Flavornet
"2-acetyl-3,4,5,6-tetrahydropyridine",27300-27-2,caramel,Flavornet
(E)-rose oxide,5258-11-7,flower,Flavornet
γ-heptalactone,105-21-5,"nut, fat, fruit",Flavornet
nerol oxide,1786-08-9,"oil, flower",Flavornet
limonene oxide,1195-92-2,fruit,Flavornet
ethyl cyclohexanoate,3289-28-9,fruit,Flavornet
methyl cyclohexanecarboxylate,4630-82-4,"fruit, ester",Flavornet
4-mercapto-4-methyl-2-pentanol,31539-84-1,"flower, lemon",Flavornet
benzyl alcohol,100-51-6,"sweet, flower",Flavornet
(Z)-limonene oxide,13837-75-7,"fresh, citrus",Flavornet
3-terpinen-1-ol,586-82-3,must,Flavornet
2-nonenal,60784-31-8,"orris, fat, cucumber",Flavornet
(E)-limonene oxide,4959-35-7,"fresh, citrus",Flavornet
(+)-(E)-limonene oxide,6909-30-4,green,Flavornet
camphor,76-22-2,camphor,Flavornet
fenchyl alcohol,1632-73-1,camphor,Flavornet
ethyl-4-hydroxymethyl- 3(2H)-Furanone,110516-60-4,caramel,Flavornet
pentyl methylbutyrate,68039-26-9,apple,Flavornet
α-fenchyl alcohol,14575-74-7,camphor,Flavornet
α-fenchyl alcohol,14575-74-7,camphor,Flavornet
menthone,10458-14-7,mint,Flavornet
β-terpineol,138-87-4,must,Flavornet
methylcyclopentapyrazine,65128-99-6,roast,Flavornet
p-2-menthen-1-ol,619-62-5,herb,Flavornet
(E)-2-nonenal,18829-56-6,"cucumber, fat, green",Flavornet
3-(acetylthio)-2-methylfuran,55764-25-5,roasted meat,Flavornet
octyl acetate,2051-50-5,fruit,Flavornet
sesquiphellandrene,73744-93-1,"sweet, fruit, herb",Flavornet
