Compound_Name,CAS_Number,Odor_Description,RI_OV101,RI_DB5,RI_OV17,RI_C20M
methyl-p-xylene,95-63-6,plastic,928,945,1036,1293
ethyl 3-hydroxybutanoate,5405-41-4,marshmallow,928,935,1026,1524
butyl isothiocyanate,592-82-5,"sulfur, pungent, green",929,946,1037,1294
α-thujene,2867-05-2,"wood, green, herb",930,938,1029,1021
2-pentanol,6032-29-7,green,933,950,861,1118
2-hepten-1-al,2463-63-0,green,934,951,1042,1299
heptenal,18829-55-5,"soap, fat, almond",940,957,1062,1243
benzaldehyde,100-52-7,"almond, burnt sugar",943,960,1051,1495
heptanol,111-70-6,"chemical, green",945,962,1210,1467
methionol,505-10-2,"sweet, potato",945,978,1069,1723
octanone,106-68-3,"herb, butter, resin",948,965,1056,1244
dimethyl trisulfide,3658-80-8,"sulfur, fish, cabbage",949,974,1038,1377
3-mercaptothiophene,7774-73-4,cooked meat,950,967,1058,1315
ethyl isohexanoate,25415-67-2,fruit,951,968,924,1181
dimethylfuranthiol,55764-23-3,meat,951,968,1022,1279
4-methylthio-2-butanone,34047-39-7,fruit,952,969,1060,1317
methyldihydrothiophenone,13679-85-1,"cabbage, onion, must",952,998,1089,1506
filbertone,102322-83-8,"hazelnut, nut",955,972,1063,1287
mercaptomethylbutanol,34300-94-2,meat broth,955,972,1127,1655
octenone,4312-99-6,"mushroom, metal",956,976,1058,1313
(E)-2-penten-1-ol,1576-96-1,mushroom,956,973,1064,1321
camphene,79-92-5,camphor,957,953,1044,1075
octenol,3391-86-4,mushroom,958,982,1079,1394
5-methylfurfural,620-02-0,"almond, caramel, burnt sugar",961,978,1069,1560
phenol,108-95-2,phenol,963,980,1222,1479
methylisohexenyl ketone,110-93-0,"pepper, mushroom, rubber",965,974,1065,1336
octadienone,65767-22-8,"geranium, metal",966,983,1085,1282
sabinene,3387-41-5,"pepper, turpentine, wood",970,972,1003,1123
"1,5-octadien-3-ol",83861-74-9,"earth, herb",971,988,1079,1336
"1,5-octadienone",359794-78-8,"earth, must",971,988,1084,1341
"2,3-dehydro-1,8-cineole",92760-25-3,"mint, lemon",975,992,940,1197
pentylfuran,3777-69-3,"green bean, butter",976,993,1084,1240
ethylmethyl pyrazine,13360-64-0,"fruit, sweet",976,993,1084,1341
trimethylthiazole,13623-11-5,earth,978,995,1072,1370
2-formylthiophene,98-03-3,sulfur,978,995,1133,1390
octanal,124-13-0,"fat, soap, lemon, green",982,1006,1096,1280
octanone,111-13-7,"soap, gasoline",982,999,1090,1285
methyldithiolane,5616-51-3,sulfur,982,999,1090,1347
"2,4-heptadienal",4313-02-4,fried,983,1000,1117,1373
trimethyl-pyrazine,14667-55-1,"roast, potato, must",983,1000,1078,1395
ethyl hexanoate,123-66-0,"apple peel, fruit",984,1002,1054,1220
2-methyl anisole,578-58-5,"warm, flower, walnut",984,1001,1092,1349
β-pinene,127-91-3,"pine, resin, turpentine",985,981,994,1116
2-octanol,123-96-6,"mushroom, fat",987,984,1075,1332
β-carene,554-60-9,orange peel,987,1004,1095,1352
hexenyl acetate,3681-71-8,"green, banana",988,1009,1081,1327
(+)-α-phellandrene,2243-33-6,dill,989,1006,1033,1290
myrcene,123-35-3,"balsamic, must, spice",990,992,1020,1145
ethyl lactate,97-64-3,fruit,993,1010,1101,1358
"2,4-heptadienal",4313-03-5,"nut, fat",994,1011,1130,1401
octanol,589-98-0,"moss, nut, mushroom",995,981,1072,1388
acetylpyridine,1122-62-9,popcorn,995,1012,1328,1585
hexyl acetate,142-92-7,"fruit, herb",997,1014,1084,1270
"2,3,4,5-tetrahydroanisole",931-57-7,"herb, spice",997,1014,1105,1362
5-(methylthio)-valeronitrile,59121-25-4,"broccoli, cabbage",998,1015,1106,1363
methylfurfurylthiol,59303-05-8,"sulfur, roast",999,1016,1107,1527
decane,124-18-5,alkane,1000,1000,1000,1000
"1,4-cineole",470-67-7,spice,1001,1018,929,1186
β-cubebene,13744-15-5,"citrus, fruit",1001,1018,1109,1546
acetylthiazole,24295-03-2,"roast, nut, sulfur",1003,1020,1140,1624
phenylethanal,122-78-1,"hawthorne, honey, sweet",1004,1049,1174,1625
mercaptomethylbutyl formate,50746-10-6,"cat, roast",1006,1023,1138,1521
acetylpyrazine,22047-25-2,roast,1006,1023,1118,1605
propionylpyrroline,133447-37-7,roast,1007,1024,1104,1408
α-phellandrene,99-83-2,"turpentine, mint, spice",1009,1007,1029,1166
Propionylpyrrole,1073-26-3,"roast, popcorn",1009,1026,1104,1361
"(+)-limonene,",5989-27-5,"citrus, mint",1013,1030,1055,1201
"1,8-cineole",470-82-6,"mint, sweet",1015,1030,1087,1213
2-ethylhexanol,104-76-7,"rose, green",1015,1032,1123,1487
δ-3-carene,13466-78-9,"lemon, resin",1017,1009,1100,1148
"2-acetyl-1,4,5,6-tetrahydropyridine",25343-57-1,caramel,1018,1049,1140,1332
methylethylpyrazine,33504-66-4,sweat,1018,1035,1126,1383
α-terpinene,99-86-5,lemon,1020,1012,1103,1178
benzylmethyl ether,538-86-3,metal,1021,1038,1129,1386
(E)-3-hexenol,928-97-2,"moss, fresh",1021,1038,1129,1386
limonene,138-86-3,"lemon, orange",1022,1033,1056,1178
ethyl hydroxybutanoate,999-10-0,caramel,1022,1039,1130,1387
3-octenone,51193-77-2,nut,1023,1040,1131,1285
isopropyl hexanoate,2311-46-8,fresh,1023,1040,1131,1388
